"","Despacho","Lubricantes","Neumaticos","Repuestos","Servicios","% Descuento","cluster"
"4201220",0,0,0.92,0.08,0,0.04,5
"4201290",0,0,0,0,1,0,1
"4201582",0,0,1,0,0,0.05,5
"4205356",0,0,0.25,0.75,0,0.11,4
"4206724",0,0.15,0.53,0.32,0,0.08,5
"4207648",0,0,0,1,0,0.03,2
"4207665",0,0,1,0,0,0.05,5
"4208946",0,0,0.93,0.01,0.06,0.06,5
"4209136",0,0,0,1,0,0.05,2
"4209321",0,0,0,1,0,0,2
"4211688",0,0,0,0,1,0,1
"4212949",0,0,0,1,0,0.14,4
"4213751",0,0,0,0,1,0,1
"4215198",0,0.99,0,0.01,0,0.01,3
"4215684",0,0,0.25,0.75,0,0.1,4
"4219984",0,0,0.56,0,0.44,0.02,5
"4230644",0,0.96,0,0.04,0,0.03,3
"4231124",0,0,0.42,0.58,0,0.03,2
"4235544",0,0,0,1,0,0,2
"4236341",0,0,0,1,0,0.09,4
"4239573",0,0,0.29,0.71,0,0.06,4
"4240109",0,0.19,0.81,0,0,0.11,5
"4240113",0,0,0,1,0,0.1,4
"4241787",0,0,0,1,0,0.05,2
"4242213",0,0,0.4,0.6,0,0.07,4
"4243592",0,0,0,0,1,0,1
"4245976",0,0.18,0.45,0.37,0,0.05,5
"4246824",0,0,0.92,0,0.08,0,5
"4247553",0,0,0.63,0.31,0.06,0.1,5
"4250183",0,0.3,0.51,0.19,0,0.05,5
"4250895",0,0,0.77,0.23,0,0.09,5
"4252572",0,0,0,1,0,0.21,4
"4254833",0,0.23,0,0.71,0.06,0.03,2
"4256943",0,0,0.81,0,0.19,0.12,5
"4257045",0,0.33,0.51,0.07,0.1,0.05,5
"4258616",0,0.02,0,0.98,0,0.05,4
"4258906",0,0,0,1,0,0.02,2
"4259451",0,0,1,0,0,0.09,5
"4259928",0,0,0.28,0.72,0,0.02,2
"4260693",0,0,0,1,0,0.05,2
"4263245",0,0,0.64,0.36,0,0.07,5
"4263362",0,0,0,1,0,0.02,2
"4264040",0,0,0,1,0,0.08,4
"4266614",0,0,0.93,0.04,0.03,0.05,5
"4266743",0,0,0.74,0.26,0,0.05,5
"4267704",0,0.16,0,0.84,0,0.02,2
"4268355",0,0,0,1,0,0,2
"4271388",0,1,0,0,0,0.07,3
"4272926",0,0,0,1,0,0.11,4
"4274400",0,0,1,0,0,0.04,5
"4275069",0,0.15,0,0.85,0,0.01,2
"4276572",0,0,0,1,0,0.1,4
"4284843",0,0,0,1,0,0.03,2
"4286780",0,0,0,0,1,0,1
"4289387",0,0.71,0,0.29,0,0,3
"4290336",0,0,0,1,0,0.05,2
"4290394",0,0,0,1,0,0,2
"4290510",0,0,0,1,0,0.15,4
"4290830",0,0,0.98,0.02,0,0.07,5
"4291184",0,1,0,0,0,0.01,3
"4291325",0,0,0.72,0.25,0.04,0,5
"4291459",0,0,0,1,0,0,2
"4293162",0,0.94,0,0.06,0,0.04,3
"4294836",0,0,1,0,0,0.04,5
"4295113",0,0,1,0,0,0.03,5
"4296474",0,0,0,1,0,0.08,4
