"","Lubricantes","Neumaticos","Repuestos","Servicios","% Descuento","Frecuencia","$ Venta.y","Recencia","cluster"
"4149686",0.21,0,0.79,0,0.09,16,684571,145,2
"4150874",0,0,1,0,0.04,2,152858,335,2
"4155121",0.04,0.74,0.08,0.14,0.06,33,935045,336,4
"4155419",0.18,0.79,0.03,0,0,3,182286,152,4
"4155625",0,0.63,0.24,0.13,0.09,15,699179,233,4
"4156655",0.27,0,0.73,0,0.08,6,59528,324,2
"4157419",0.01,0.54,0.21,0.23,0.04,88,2930008,68,4
"4158506",0,1,0,0,0.1,2,136741,877,4
"4161362",0,1,0,0,0.07,1,181717,959,4
"4165194",0,0,0,1,0,1,5042,971,1
"4168137",0,1,0,0,0,1,71412,545,4
"4169053",1,0,0,0,0.08,2,92613,685,3
"4169995",0.05,0,0.95,0,0.03,18,462080,208,2
"4170150",0.04,0,0.94,0.02,0.01,22,1142049,333,2
"4170935",0.29,0.33,0.37,0,0.03,43,1406392,84,4
"4171376",0,0.94,0.01,0.05,0.04,3,203218,529,4
"4172021",0,0,1,0,0.1,8,90742,438,2
"4172075",0,0,1,0,0,3,299370,255,2
"4172407",0,0,1,0,0.12,4,55932,929,5
"4175188",0,1,0,0,0,1,71412,616,4
"4175252",0,0,1,0,0,1,92429,261,2
"4176536",0,0,1,0,0.1,8,144215,263,2
"4179169",1,0,0,0,0,2,97135,847,3
"4179933",0,0,1,0,0,1,4032,1012,5
"4181538",0.3,0.41,0.29,0,0.02,16,675983,151,4
"4183140",0,0,1,0,0,1,25966,917,5
"4190956",0,1,0,0,0.06,3,650394,628,4
"4193348",0.09,0.1,0.81,0,0.1,102,4506647,109,2
"4193487",0.01,0.76,0.23,0,0.07,13,777475,52,4
"4194047",0,0,1,0,0,1,2933,711,2
"4195047",0,0,0,1,0,1,12353,363,1
"4200495",0,1,0,0,0.05,2,491904,431,4
"4200638",0,1,0,0,0.04,1,335568,574,4
"4201220",0,0.92,0.08,0,0.04,2,246008,110,4
"4201290",0,0,0,1,0,3,22084,305,1
"4201582",0,1,0,0,0.05,1,127446,571,4
"4205356",0,0.25,0.75,0,0.11,6,262483,125,2
"4206724",0.15,0.53,0.32,0,0.08,214,15126599,37,4
"4207648",0,0,1,0,0.03,3,11353,679,2
"4207665",0,1,0,0,0.05,1,150052,343,4
"4208946",0,0.93,0.01,0.06,0.06,71,6761638,88,4
"4209136",0,0,1,0,0.05,1,21396,977,5
"4209321",0,0,1,0,0,3,64899,178,2
"4211688",0,0,0,1,0,2,20672,849,1
"4212949",0,0,1,0,0.14,5,399787,257,2
"4213751",0,0,0,1,0,1,9244,784,1
"4215198",0.99,0,0.01,0,0.01,9,338469,63,3
"4215684",0,0.25,0.75,0,0.1,15,510749,231,2
"4219984",0,0.56,0,0.44,0.02,2,95180,164,4
"4230644",0.96,0,0.04,0,0.03,3,283204,1012,3
"4231124",0,0.42,0.58,0,0.03,28,3739491,481,2
"4235544",0,0,1,0,0,3,326856,864,5
"4236341",0,0,1,0,0.09,18,683492,627,5
"4239573",0,0.29,0.71,0,0.06,25,2339745,481,2
"4240109",0.19,0.81,0,0,0.11,3,354018,878,4
"4240113",0,0,1,0,0.1,1,18182,168,2
"4241787",0,0,1,0,0.05,4,80924,185,2
"4242213",0,0.4,0.6,0,0.07,4,342850,104,2
"4243592",0,0,0,1,0,6,60590,319,1
"4245976",0.18,0.45,0.37,0,0.05,8,222817,756,5
"4246824",0,0.92,0,0.08,0,2,104436,999,4
"4247553",0,0.63,0.31,0.06,0.1,4,316050,847,5
"4250183",0.3,0.51,0.19,0,0.05,32,1360757,48,4
"4250895",0,0.77,0.23,0,0.09,8,812183,88,4
"4252572",0,0,1,0,0.21,17,332690,590,5
"4254833",0.23,0,0.71,0.06,0.03,68,1776641,529,2
