"","Frecuencia","$ Margen","$ Venta","Recencia","cluster"
"4511202",1,2477,3840,805,4
"4511672",4,89086,250699,632,3
"4511807",2,26162,37530,805,4
"4512431",2,48200,78848,814,4
"4514004",2,9868,53765,238,1
"4514143",14,353934,665541,28,2
"4515536",1,37838,177462,605,3
"4515660",1,14167,49084,709,3
"4516041",19,166239,332535,188,2
"4516660",2,9496,9496,1018,4
"4519593",1,16806,16807,54,2
"4520356",23,1204251,4217786,131,2
"4520507",1,44917,106631,107,2
"4522605",2,15376,15378,340,1
"4526643",1,22607,72597,98,2
"4528641",5,69606,217116,102,2
"4529817",1,49618,187144,616,3
"4530049",2,100814,324428,602,3
"4531026",1,55466,231916,711,3
"4531051",55,387372,918183,75,2
"4531354",1,32520,32520,711,3
"4531485",6,202831,698061,87,2
"4532487",41,842110,3055877,68,2
"4533429",60,1555994,4701577,181,2
"4535157",1,49984,101058,595,3
"4535754",2,203972,386368,23,2
"4537131",12,317212,958477,152,2
"4538595",4,19576,32348,310,1
"4539337",29,723777,2781637,48,2
"4539909",9,55210,141833,332,1
"4543661",1,55764,255128,948,4
"4544173",16,225364,1052966,417,1
"4545997",13,334892,1072789,140,2
"4548770",2,17508,30168,109,2
"4550027",1,40217,72847,671,3
"4552685",4,56672,108009,1004,4
"4554363",1,38950,143118,930,4
"4557815",11,293711,874295,413,1
"4560802",7,48756,98419,284,1
"4562774",10,153143,314742,207,1
"4564922",6,59696,95968,1015,4
"4565002",5,21746,97439,873,4
"4565976",1,26542,53993,95,2
"4569762",6,154647,257692,376,1
"4570082",1,1644,5798,860,4
"4571085",7,45329,114574,271,1
"4572975",2,53668,252043,989,4
"4574314",1,209872,673472,991,4
"4575063",3,52276,181160,879,4
"4575096",5,10684,17893,1008,4
"4575769",21,797104,2327347,100,2
"4575786",1,77767,158806,546,3
"4575814",4,17866,37308,143,2
"4576136",1,5820,25170,941,4
"4577500",1,32184,87440,941,4
"4580436",1,9243,9244,742,3
"4582846",3,41496,84791,959,4
"4583861",16,135847,365040,158,2
"4584795",3,294384,852506,146,2
"4585042",5,36253,76448,299,1
"4586265",5,150534,306388,384,1
"4587343",20,839874,2613348,80,2
"4588732",1,2466,12756,221,1
"4589493",14,299987,1144570,90,2
"4589494",122,2115307,5821573,332,1
"4592168",2,49640,124040,747,3
"4592426",5,32756,74642,48,2
"4592540",7,187881,784697,346,1
"4595519",8,51791,112414,616,3
"4597743",1,1753,3101,458,1
"4597911",9,101878,298440,210,1
"4597912",34,593049,1549607,369,1
"4598597",3,56288,95936,95,2
"4599819",16,226356,525266,89,2
"4600596",1,11595,21279,894,4
